scenario,person,seed,arm,tracking_mse,accuracy,rate_error,entropy,spectral_entropy,saturation_fraction,control_energy,washout_mse,weight_change,washout_weight_change,cap_events
nominal,21,100,entropy,109.66765521399697,0.579,0.0021284190189785938,0.9573592045871673,0.2760610400579062,0.002979166666666667,0.0421193493748582,0.7451724717059942,0.0,0.0,0
nominal,21,100,combined,100.96508185011744,0.579,0.0019792245943352697,0.9593934056780803,0.26580239882030265,0.0031041666666666665,0.0410294620703439,0.7450259474163368,0.0,0.0,0
nominal,22,100,sham,12.760775713795377,0.579,0.003509293971440821,0.9300006024946693,0.2151493308743097,0.0,0.0,0.9043908439766826,0.0,0.0,0
nominal,22,100,fixed,11.80619352747285,0.579,0.0034331061725456176,0.9406268326613515,0.20889998352013117,0.0,0.04000000000000002,0.9032318463940618,0.0,0.0,0
nominal,22,100,rate,8.578107829038332,0.579,0.002519442119707847,0.933121920550822,0.26264989515156456,0.0,0.030330269417013857,0.905670538957571,0.0,0.0,0
nominal,22,100,entropy,10.449533050084685,0.5786666666666667,0.0030061994161197166,0.9231019016799337,0.264937204700145,2.0833333333333333e-05,0.030420305979760413,0.907243226953638,0.0,0.0,0
nominal,22,100,combined,8.29816943502272,0.5786666666666667,0.0024616308621858013,0.9250566893007809,0.27970005508779794,0.0,0.04129329498073588,0.909435020055905,0.0,0.0,0
nominal,23,100,sham,86.81834904777327,0.421,0.0018668197458721807,0.9650130940934171,0.16891951332944674,0.05825,0.0,0.6903040343662037,0.0,0.0,0
nominal,23,100,fixed,77.65132294819422,0.4206666666666667,0.0017464298689029328,0.9658401317692215,0.17528051353375865,0.05875,0.04000000000000002,0.6900069706383735,0.0,0.0,0
nominal,23,100,rate,62.8031123384852,0.42133333333333334,0.0014014670998803774,0.9637424162161848,0.21412631342959312,0.057833333333333334,0.019216172181552624,0.6903040267716786,0.0,0.0,0
nominal,23,100,entropy,62.11909683400371,0.4216666666666667,0.0013253433164203358,0.9583231887440108,0.23650321106979463,0.0564375,0.07469257558316736,0.690304017827225,0.0,0.0,0
nominal,23,100,combined,52.38357780303645,0.42133333333333334,0.0012043424973036503,0.9633360146479928,0.23931325131585376,0.05727083333333333,0.041429495254605604,0.6903040285853528,0.0,0.0,0
nominal,0,200,sham,40.56475066702521,0.584,0.003292842419828237,0.9548276140432806,0.1586344928708314,0.0528125,0.0,0.7379146308474208,0.0,0.0,0
